[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005193s ]
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005665s ]
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --START--
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004255s ]
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004526s ]
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 49 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 69 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 81 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 69 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 81 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 69 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 81 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 81 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 166 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 166 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 166 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 166 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 166 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 159 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 176 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  noflag TagLibMyfcms.class.php 第 183 行.
[ 2012-05-25T22:34:18+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  order TagLibMyfcms.class.php 第 191 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.020855s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_webname'  [ RunTime:0.003021s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant value - assumed 'value' 0573c70d8602d961e53f714ea77bd87c.php 第 7 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_description'  [ RunTime:0.004045s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant value - assumed 'value' 0573c70d8602d961e53f714ea77bd87c.php 第 8 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SELECT * FROM `myf_sys` WHERE name='cfg_keywords'  [ RunTime:0.000864s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant value - assumed 'value' 0573c70d8602d961e53f714ea77bd87c.php 第 9 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.272660s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.009366s ]
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  protype 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
[ 2012-05-25T22:34:19+08:00 ] /myfcms/ | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 0573c70d8602d961e53f714ea77bd87c.php 第 27 行.
